batch	batch_id	cond
scell.nextera.1CDU_216	3	1CDU_2863	1CDU
scell.nextera.1CDU_217	3	1CDU_2863	1CDU
scell.nextera.1CDU_218	3	1CDU_2863	1CDU
scell.nextera.1CDU_221	3	1CDU_2863	1CDU
scell.nextera.1CDU_222	3	1CDU_2863	1CDU
scell.nextera.1CDU_223	3	1CDU_2863	1CDU
scell.nextera.1CDU_224	3	1CDU_2863	1CDU
scell.nextera.1CDU_225	3	1CDU_2863	1CDU
scell.nextera.1CDU_226	3	1CDU_2863	1CDU
scell.nextera.1CDU_227	3	1CDU_2863	1CDU
scell.nextera.1CDU_228	3	1CDU_2863	1CDU
scell.nextera.1CDU_231	3	1CDU_2863	1CDU
scell.nextera.1CDU_232	3	1CDU_2863	1CDU
scell.nextera.1CDU_233	3	1CDU_2863	1CDU
scell.nextera.1CDU_234	3	1CDU_2863	1CDU
scell.nextera.1CDU_235	3	1CDU_2863	1CDU
scell.nextera.1CDU_236	3	1CDU_2863	1CDU
scell.nextera.1CDU_237	3	1CDU_2863	1CDU
scell.nextera.1CDU_238	3	1CDU_2863	1CDU
scell.nextera.1CDU_241	3	1CDU_2863	1CDU
scell.nextera.1CDU_242	3	1CDU_2863	1CDU
scell.nextera.1CDU_243	3	1CDU_2863	1CDU
scell.nextera.1CDU_244	3	1CDU_2863	1CDU
scell.nextera.1CDU_245	3	1CDU_2863	1CDU
scell.nextera.1CDU_246	3	1CDU_2863	1CDU
scell.nextera.1CDU_247	3	1CDU_2863	1CDU
scell.nextera.1CDU_248	3	1CDU_2863	1CDU
scell.nextera.1CDU_251	3	1CDU_2863	1CDU
scell.nextera.1CDU_252	3	1CDU_2863	1CDU
scell.nextera.1CDU_253	3	1CDU_2863	1CDU
scell.nextera.1CDU_254	3	1CDU_2863	1CDU
scell.nextera.1CDU_255	3	1CDU_2863	1CDU
scell.nextera.1CDU_256	3	1CDU_2863	1CDU
scell.nextera.1CDU_257	3	1CDU_2863	1CDU
scell.nextera.1CDU_258	3	1CDU_2863	1CDU
scell.nextera.1CDU_261	3	1CDU_2863	1CDU
scell.nextera.1CDU_262	3	1CDU_2863	1CDU
scell.nextera.1CDU_263	3	1CDU_2863	1CDU
scell.nextera.1CDU_264	3	1CDU_2863	1CDU
scell.nextera.1CDU_265	3	1CDU_2863	1CDU
scell.nextera.1CDU_266	3	1CDU_2863	1CDU
scell.nextera.1CDU_267	3	1CDU_2863	1CDU
scell.nextera.1CDU_268	3	1CDU_2863	1CDU
scell.nextera.1CDU_271	3	1CDU_2863	1CDU
